Scenario;Replication;InfectedArrivals;FalsePositives;DestInTime;TimeInQueue;AirportResources
Scenario8;2;0;367;0,975105906;0,190935452;20
Scenario8;3;1;369;0,976291526;0,191077178;20
Scenario8;4;1;376;0,97668072;0,191166856;20
Scenario8;5;2;383;0,977268656;0,191786353;20
Scenario8;6;3;389;0,977564365;0,191786933;20
Scenario8;7;3;398;0,977569424;0,191880407;20
Scenario8;8;3;404;0,977840649;0,192708641;20
Scenario8;9;4;423;0,978140022;0,193167947;20
Scenario8;10;4;429;0,978409965;0,195298131;20
Scenario9;1;0;367;0,975038007;0,18942008;20
Scenario9;2;0;369;0,975105906;0,19001865;20
Scenario9;3;0;369;0,976186603;0,191166856;20
Scenario9;4;0;385;0,97668072;0,191880407;20
Scenario9;5;0;389;0,977076895;0,191929528;20
Scenario9;6;0;389;0,977268656;0,192605634;20
Scenario9;7;0;397;0,977348925;0,192716507;20
Scenario9;8;0;410;0,977569424;0,193167947;20
Scenario9;9;1;415;0,97767806;0,193318086;20
Scenario9;10;1;429;0,977898201;0,19441572;20
