Scenario;Replication;InfectedArrivals;FalsePositives;DestInTime;TimeInQueue;AirportResources
Scenario1;1;2;901;0,975018988356131;0,282615990819359;10
Scenario1;2;3;911;0,976188654839809;0,284021469642488;10
Scenario1;3;5;915;0,976297080307219;0,284837415585621;10
Scenario1;4;5;925;0,976524511479619;0,285859245089913;10
Scenario1;5;6;931;0,976755666805729;0,286362846117502;10
Scenario1;6;6;931;0,977242882288844;0,286593636399242;10
Scenario1;7;7;940;0,977254202573445;0,28720099518293;10
Scenario1;8;7;950;0,977340306261011;0,288141538453827;10
Scenario1;9;8;994;0,97742298052959;0,288665967822229;10
Scenario1;10;9;1032;0,977600848516143;0,289213021642631;10
Scenario10;1;3;1320;0,969922299273122;0,290618090522306;20
Scenario10;2;4;1350;0,970083804326642;0,291621366222128;20
Scenario10;3;5;1350;0,970144569742871;0,292002473712334;20
Scenario10;4;5;1352;0,970467624899219;0,293295761635052;20
Scenario10;5;6;1365;0,970484900872766;0,293667899913424;20
Scenario10;6;6;1378;0,970689523226448;0,294252600382862;20
Scenario10;7;7;1389;0,970908407101218;0,294596600428353;20
Scenario10;8;8;1389;0,971321591432038;0,294986858355566;20
Scenario10;9;8;1391;0,971501417614646;0,295819882984574;20
Scenario10;10;8;1401;0,972162875455574;0,297517686408431;20
Scenario11;1;1;1341;0,96979001308937;0,290618090522306;20
Scenario11;2;2;1365;0,969922299273122;0,292900432053137;20
Scenario11;3;2;1377;0,9700803282679;0,293512803912609;20
Scenario11;4;2;1381;0,970460372310779;0,293925911698123;20
Scenario11;5;3;1383;0,970467624899219;0,294415170238827;20
Scenario11;6;3;1383;0,970549637716567;0,294551946902868;20
Scenario11;7;3;1384;0,970598483581424;0,294596600428353;20
Scenario11;8;4;1389;0,970618973301377;0,295055849314374;20
Scenario11;9;4;1391;0,970814410297846;0,295315418262605;20
Scenario11;10;5;1401;0,971530224332642;0,297090692464465;20
Scenario12;1;0;1298;0,969079556449648;0,290618090522306;20
Scenario12;2;0;1321;0,969882490288597;0,292304019990502;20
Scenario12;3;0;1340;0,9700803282679;0,294480966414605;20
Scenario12;4;0;1365;0,970467624899219;0,294551946902868;20
Scenario12;5;0;1379;0,970530957448288;0,294863991480827;20
Scenario12;6;1;1381;0,970618973301377;0,294868591101546;20
Scenario12;7;1;1391;0,97066668528656;0,295315418262605;20
Scenario12;8;1;1395;0,971024803995424;0,296305119406069;20
Scenario12;9;2;1399;0,972009485945456;0,296308146753478;20
Scenario12;10;2;1448;0,972219901411981;0,296591903651203;20
Scenario2;1;1;886;0,975732654981357;0,282615990819359;10
Scenario2;2;1;910;0,977018940739657;0,282755789035012;10
Scenario2;3;2;915;0,977168407447515;0,284837415585621;10
Scenario2;4;2;925;0,977240893918594;0,28501992108251;10
Scenario2;5;2;931;0,977242882288844;0,285854439152482;10
Scenario2;6;3;939;0,977254202573445;0,285859245089913;10
Scenario2;7;4;940;0,977340306261011;0,285869279040364;10
Scenario2;8;5;948;0,97742298052959;0,286593636399242;10
Scenario2;9;5;964;0,977492185270017;0,28803836170383;10
Scenario2;10;6;993;0,977622757745969;0,288487904360231;10
Scenario3;1;0;886;0,975517798901681;0,282615990819359;10
Scenario3;2;0;915;0,975732654981357;0,282755789035012;10
Scenario3;3;0;931;0,976338260244228;0,284837415585621;10
Scenario3;4;0;939;0,97688054716968;0,285310567415392;10
Scenario3;5;0;940;0,977168407447515;0,285854439152482;10
Scenario3;6;0;947;0,977240893918594;0,285859245089913;10
Scenario3;7;1;948;0,977254202573445;0,28803836170383;10
Scenario3;8;1;964;0,977340306261011;0,288349864287688;10
Scenario3;9;2;988;0,97742298052959;0,288487904360231;10
Scenario3;10;3;993;0,977622757745969;0,28868272576225;10
Scenario4;1;2;1343;0,954338663043857;0,307318590525743;10
Scenario4;2;3;1345;0,954380284723718;0,307608023384235;10
Scenario4;3;4;1356;0,955171336319133;0,309511537834209;10
Scenario4;4;5;1361;0,955780966861761;0,310082804912746;10
Scenario4;5;6;1376;0,956152227800112;0,310463664770323;10
Scenario4;6;6;1381;0,956469459812616;0,311051877550254;10
Scenario4;7;7;1389;0,956476056612439;0,311165940885974;10
Scenario4;8;9;1396;0,956493078444298;0,311444999159435;10
Scenario4;9;10;1414;0,957245696400626;0,311530055902952;10
Scenario4;10;12;1415;0,957517383037486;0,313160707921276;10
Scenario5;1;2;1328;0,954988240860574;0,308344002468988;10
Scenario5;2;2;1337;0,955231777015127;0,308685486080894;10
Scenario5;3;3;1349;0,95559935321346;0,309285816385642;10
Scenario5;4;3;1351;0,95628388711247;0,30967290814227;10
Scenario5;5;3;1356;0,956414176511466;0,30976866403857;10
Scenario5;6;3;1357;0,956424837009727;0,310156646179412;10
Scenario5;7;4;1361;0,956632120748418;0,310815486039913;10
Scenario5;8;4;1367;0,956891878744076;0,311914898525898;10
Scenario5;9;5;1369;0,957393344532215;0,312002039145986;10
Scenario5;10;7;1420;0,957729409716176;0,31244399636994;10
Scenario6;1;0;1347;0,95469062430571;0,307490302903843;10
Scenario6;2;0;1351;0,955154771573956;0,308344002468988;10
Scenario6;3;0;1357;0,955674608965139;0,30927109769866;10
Scenario6;4;0;1361;0,95572639956664;0,30970370026786;10
Scenario6;5;1;1367;0,95642173145613;0,309819100742537;10
Scenario6;6;1;1374;0,956954864957122;0,310175497019045;10
