Scenario;Replication;InfectedArrivals;FalsePositives;DestInTime;TimeInQueue;AirportResources
Scenario15;9;1;610;0,970154368;0,205387014;20
Scenario15;10;1;639;0,971957888;0,205451429;20
Scenario16;1;0;681;0,963547975;0,199028663;20
Scenario16;2;0;689;0,963661077;0,201670864;20
Scenario16;3;0;690;0,964164799;0,202526569;20
Scenario16;4;1;696;0,964813432;0,203620031;20
Scenario16;5;1;699;0,965265649;0,204284582;20
Scenario16;6;2;707;0,965523983;0,204763091;20
Scenario16;7;2;713;0,965783502;0,20486724;20
Scenario16;8;2;722;0,965838509;0,204908095;20
Scenario16;9;2;739;0,965933402;0,204938208;20
Scenario16;10;2;742;0,966138411;0,205127506;20
Scenario17;1;0;688;0,962859705;0,202248816;20
Scenario17;2;0;706;0,963355488;0,202333528;20
Scenario17;3;1;709;0,963509863;0,20261866;20
Scenario17;4;1;710;0,963817395;0,20292954;20
Scenario17;5;1;714;0,963936031;0,203328839;20
Scenario17;6;1;727;0,963985086;0,203742823;20
Scenario17;7;1;734;0,964253128;0,203989406;20
Scenario17;8;1;740;0,964358702;0,204042284;20
Scenario17;9;2;745;0,965385055;0,204829361;20
Scenario17;10;2;755;0,965478987;0,205649161;20
Scenario18;1;0;1237;0,936862214;0,195399552;20
Scenario18;2;0;1342;0,938541667;0,195867566;20
Scenario18;3;1;1371;0,938624978;0,196861995;20
Scenario18;4;1;1373;0,939357098;0,197206112;20
Scenario18;5;1;1385;0,939379117;0,197834535;20
Scenario18;6;1;1394;0,940279604;0,197945958;20
Scenario18;7;1;1408;0,940531065;0,198830953;20
Scenario18;8;1;1416;0,940594059;0,198911672;20
Scenario18;9;3;1438;0,941181255;0,199769051;20
Scenario18;10;4;1442;0,945825398;0,200463775;20
Scenario19;1;0;0;0,990652135;0,163569445;0
Scenario19;2;0;0;0,990725836;0,163975068;0
Scenario19;3;0;0;0,990858746;0,165737832;0
Scenario19;4;0;0;0,99100669;0,166059707;0
Scenario19;5;0;0;0,991124828;0,166682099;0
Scenario19;6;0;0;0,991183767;0,167004256;0
Scenario19;7;1;0;0,991670974;0,167340135;0
Scenario19;8;1;0;0,991685864;0,168350246;0
Scenario19;9;1;0;0,991833661;0,16846335;0
Scenario19;10;2;0;0,991892491;0,169639493;0
Scenario2;1;0;357;0,974795952;0,19020415;10
Scenario2;2;0;376;0,975519835;0,190814618;10
Scenario2;3;1;395;0,975682398;0,191080627;10
Scenario2;4;1;398;0,975827598;0,191287549;10
Scenario2;5;1;403;0,975846987;0,191607876;10
Scenario2;6;2;406;0,976106484;0,191843663;10
Scenario2;7;2;414;0,976544239;0,192108497;10
Scenario2;8;2;420;0,977236971;0,192935599;10
Scenario2;9;2;421;0,977469075;0,193389391;10
Scenario2;10;4;438;0,978596967;0,193645911;10
