Scenario;Replication;InfectedArrivals;FalsePositives;DestInTime;TimeInQueue;AirportResources
Scenario8;6;2;561;0,977098437;0,164146656;20
Scenario8;7;2;563;0,977169003;0,164347637;20
Scenario8;8;3;574;0,977220744;0,164793563;20
Scenario8;9;3;593;0,977581664;0,165112016;20
Scenario8;10;3;601;0,977698971;0,165603042;20
Scenario9;1;0;524;0,975349048;0,161796404;20
Scenario9;2;0;547;0,975630761;0,162251981;20
Scenario9;3;0;552;0,97603858;0,163242554;20
Scenario9;4;0;553;0,97654051;0,163265864;20
Scenario9;5;0;555;0,976832541;0,163550256;20
Scenario9;6;0;558;0,977008414;0,164146656;20
Scenario9;7;0;561;0,97707472;0,164347637;20
Scenario9;8;1;574;0,977098437;0,164793563;20
Scenario9;9;1;593;0,977169003;0,165120588;20
Scenario9;10;1;601;0,977698971;0,165417996;20
